Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
5681.KL,"20MA, 50MA, 200MA, RSI, MACD",32,3,0.2,0.001,16,100,adam,0.707554518,2.640100274,0.727033285,86.71232877,,
5681.KL,"20MA, 50MA, 200MA, RSI, Signal_Line",32,3,0.2,0.001,16,100,adam,0.664432313,2.470680141,0.759291533,87.26027397,,
5681.KL,"20MA, 50MA, 200MA, RSI, Upper_BB",32,3,0.2,0.001,16,100,adam,0.744193762,2.916374149,0.698031302,85.20547945,,
5681.KL,"20MA, 50MA, 200MA, RSI, Lower_BB",32,3,0.2,0.001,16,100,adam,0.84509315,3.264360932,0.610597227,80.68493151,,
5681.KL,"20MA, 50MA, 200MA, RSI, CCI",32,3,0.2,0.001,16,100,adam,0.622289639,2.311868132,0.788857813,89.5890411,,
5681.KL,"20MA, 50MA, 200MA, RSI, ATR",32,3,0.2,0.001,16,100,adam,0.675728163,2.590967141,0.751037511,87.67123288,,
5681.KL,"20MA, 50MA, 200MA, RSI, ROC",32,3,0.2,0.001,16,100,adam,0.693156327,2.73010429,0.738029578,87.67123288,,
5681.KL,"20MA, 50MA, 200MA, RSI, Williams_%R",32,3,0.2,0.001,16,100,adam,0.630340937,2.406110106,0.783358875,89.5890411,,
5681.KL,"20MA, 50MA, 200MA, RSI, OBV",32,3,0.2,0.001,16,100,adam,0.72080927,2.628602803,0.716710419,86.30136986,,
5681.KL,"20MA, 50MA, 200MA, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,0.782001423,3.117839792,0.666569777,80.82191781,,
5681.KL,"20MA, 50MA, 200MA, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,0.633203434,2.431566824,0.781386791,88.21917808,,
5681.KL,"20MA, 50MA, 200MA, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,0.648713523,2.553767338,0.770545923,87.26027397,,
5681.KL,"20MA, 50MA, 200MA, MACD, CCI",32,3,0.2,0.001,16,100,adam,0.586685331,2.235695905,0.812327631,91.09589041,,
5681.KL,"20MA, 50MA, 200MA, MACD, ATR",32,3,0.2,0.001,16,100,adam,0.575341826,2.135042558,0.819514727,91.64383562,,
