Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
AAPL,"20MA, 50MA, 200MA, RSI, MACD",32,3,0.2,0.001,16,100,adam,11.09438986,4.801315186,0.859718728,55.16778523,,
AAPL,"20MA, 50MA, 200MA, RSI, Signal_Line",32,3,0.2,0.001,16,100,adam,10.31189019,4.541274558,0.878809268,58.38926174,,
AAPL,"20MA, 50MA, 200MA, RSI, Upper_BB",32,3,0.2,0.001,16,100,adam,13.39217039,5.926983334,0.795593463,44.4295302,,
AAPL,"20MA, 50MA, 200MA, RSI, Lower_BB",32,3,0.2,0.001,16,100,adam,13.93256894,6.198039034,0.778764279,38.52348993,,
AAPL,"20MA, 50MA, 200MA, RSI, CCI",32,3,0.2,0.001,16,100,adam,11.63243926,5.053059727,0.845782224,51.1409396,,
AAPL,"20MA, 50MA, 200MA, RSI, ATR",32,3,0.2,0.001,16,100,adam,8.602258125,3.603861968,0.91566307,75.30201342,,
AAPL,"20MA, 50MA, 200MA, RSI, ROC",32,3,0.2,0.001,16,100,adam,10.47470024,5.126186119,0.8749522,62.95302013,,
AAPL,"20MA, 50MA, 200MA, RSI, Williams_%R",32,3,0.2,0.001,16,100,adam,12.60358289,5.578031307,0.818957352,48.8590604,,
AAPL,"20MA, 50MA, 200MA, RSI, OBV",32,3,0.2,0.001,16,100,adam,8.289538737,3.926669881,0.921683444,72.61744966,,
AAPL,"20MA, 50MA, 200MA, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,5.896770369,2.739045812,0.960370255,85.5033557,,
AAPL,"20MA, 50MA, 200MA, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,6.89010707,3.203751792,0.945894079,79.59731544,,
AAPL,"20MA, 50MA, 200MA, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,8.459549802,4.104867751,0.918438097,67.11409396,,
AAPL,"20MA, 50MA, 200MA, MACD, CCI",32,3,0.2,0.001,16,100,adam,8.20305241,4.008859644,0.923309102,73.02013423,,
AAPL,"20MA, 50MA, 200MA, MACD, ATR",32,3,0.2,0.001,16,100,adam,12.22613628,5.963412232,0.829638555,48.99328859,,
AAPL,"20MA, 50MA, 200MA, MACD, ROC",32,3,0.2,0.001,16,100,adam,8.910699026,4.136415171,0.909506706,65.90604027,,
AAPL,"20MA, 50MA, 200MA, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,16.09013791,7.150678522,0.704938611,31.27516779,,
AAPL,"20MA, 50MA, 200MA, MACD, OBV",32,3,0.2,0.001,16,100,adam,8.919802564,4.325448166,0.909321708,63.08724832,,
AAPL,"20MA, 50MA, 200MA, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,8.107261044,3.927067045,0.925089764,71.94630872,,
