Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
XOM,"20MA, 50MA, 200MA, RSI, MACD",32,3,0.2,0.001,16,100,adam,7.97300076,7.149493617,0.654205494,29.53020134,,
XOM,"20MA, 50MA, 200MA, RSI, Signal_Line",32,3,0.2,0.001,16,100,adam,6.317094075,5.554274375,0.782925321,44.16107383,,
XOM,"20MA, 50MA, 200MA, RSI, Upper_BB",32,3,0.2,0.001,16,100,adam,6.203938379,5.28183987,0.790632422,48.8590604,,
XOM,"20MA, 50MA, 200MA, RSI, Lower_BB",32,3,0.2,0.001,16,100,adam,5.214656922,4.34977595,0.852080319,64.83221477,,
XOM,"20MA, 50MA, 200MA, RSI, CCI",32,3,0.2,0.001,16,100,adam,5.239590315,4.370861577,0.85066241,64.4295302,,
XOM,"20MA, 50MA, 200MA, RSI, ATR",32,3,0.2,0.001,16,100,adam,5.516131744,4.622496987,0.834482569,58.52348993,,
XOM,"20MA, 50MA, 200MA, RSI, ROC",32,3,0.2,0.001,16,100,adam,14.29253193,12.73210799,-0.111201503,8.724832215,,
XOM,"20MA, 50MA, 200MA, RSI, Williams_%R",32,3,0.2,0.001,16,100,adam,10.04101271,8.991664441,0.451559508,19.86577181,,
XOM,"20MA, 50MA, 200MA, RSI, OBV",32,3,0.2,0.001,16,100,adam,7.163036726,5.95618917,0.720894218,47.24832215,,
XOM,"20MA, 50MA, 200MA, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,3.198698495,2.679607093,0.944342834,86.7114094,,
XOM,"20MA, 50MA, 200MA, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,3.584362691,2.941623157,0.930112682,81.47651007,,
XOM,"20MA, 50MA, 200MA, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,4.13746481,3.441781512,0.906879971,76.24161074,,
XOM,"20MA, 50MA, 200MA, MACD, CCI",32,3,0.2,0.001,16,100,adam,5.385467415,4.539297716,0.842231142,62.55033557,,
XOM,"20MA, 50MA, 200MA, MACD, ATR",32,3,0.2,0.001,16,100,adam,3.468396298,2.896830934,0.934561715,83.62416107,,
XOM,"20MA, 50MA, 200MA, MACD, ROC",32,3,0.2,0.001,16,100,adam,5.564550641,4.580575007,0.831564094,53.69127517,,
XOM,"20MA, 50MA, 200MA, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,6.144562019,5.129263339,0.794620855,57.04697987,,
XOM,"20MA, 50MA, 200MA, MACD, OBV",32,3,0.2,0.001,16,100,adam,3.952717523,3.283389324,0.915010351,77.98657718,,
XOM,"20MA, 50MA, 200MA, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,3.763116124,3.111758628,0.922968258,80,,
XOM,"20MA, 50MA, 200MA, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,4.79116504,3.897524419,0.875130394,71.40939597,,
XOM,"20MA, 50MA, 200MA, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,6.18140511,5.040047451,0.792150544,59.06040268,,
XOM,"20MA, 50MA, 200MA, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,3.806173885,3.15808051,0.921195371,81.0738255,,
XOM,"20MA, 50MA, 200MA, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,6.904257686,5.841702921,0.74069645,41.47651007,,
XOM,"20MA, 50MA, 200MA, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,6.27898284,5.460383919,0.785536657,49.79865772,,
XOM,"20MA, 50MA, 200MA, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,3.388782825,2.841369641,0.937531374,83.75838926,,
XOM,"20MA, 50MA, 200MA, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,5.539792487,4.541044669,0.833059591,58.9261745,,
XOM,"20MA, 50MA, 200MA, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,4.406181682,3.737028165,0.894391401,70.60402685,,
XOM,"20MA, 50MA, 200MA, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,4.057557001,3.336113117,0.910442134,77.18120805,,
XOM,"20MA, 50MA, 200MA, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,3.703813449,3.121673405,0.925377003,81.34228188,,
XOM,"20MA, 50MA, 200MA, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,9.358341729,8.151762678,0.523599424,26.44295302,,
XOM,"20MA, 50MA, 200MA, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,6.517563181,5.439411556,0.768929248,48.59060403,,
XOM,"20MA, 50MA, 200MA, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,6.429577844,5.383363479,0.775125922,53.2885906,,
XOM,"20MA, 50MA, 200MA, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,3.939409505,3.23737381,0.915581674,78.38926174,,
XOM,"20MA, 50MA, 200MA, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,4.265455539,3.573434085,0.901029602,74.4966443,,
XOM,"20MA, 50MA, 200MA, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,5.945088474,4.886484011,0.807739033,60.67114094,,
XOM,"20MA, 50MA, 200MA, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,5.626212529,4.74429822,0.827810468,54.22818792,,
XOM,"20MA, 50MA, 200MA, CCI, ATR",32,3,0.2,0.001,16,100,adam,4.385014307,3.62375629,0.895403655,74.89932886,,
XOM,"20MA, 50MA, 200MA, CCI, ROC",32,3,0.2,0.001,16,100,adam,4.563027995,3.78165833,0.886738908,71.54362416,,
XOM,"20MA, 50MA, 200MA, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,5.787014053,4.840045447,0.817827192,57.85234899,,
XOM,"20MA, 50MA, 200MA, CCI, OBV",32,3,0.2,0.001,16,100,adam,7.391884033,6.523527932,0.702775389,34.22818792,,
XOM,"20MA, 50MA, 200MA, ATR, ROC",32,3,0.2,0.001,16,100,adam,5.267387457,4.347575514,0.849073671,62.41610738,,
XOM,"20MA, 50MA, 200MA, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,6.142301958,5.340331915,0.79477191,55.30201342,,
XOM,"20MA, 50MA, 200MA, ATR, OBV",32,3,0.2,0.001,16,100,adam,5.505146487,4.626085075,0.835141161,59.19463087,,
XOM,"20MA, 50MA, 200MA, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,7.103930198,6.385944986,0.725481353,31.1409396,,
XOM,"20MA, 50MA, 200MA, ROC, OBV",32,3,0.2,0.001,16,100,adam,4.052981855,3.411994349,0.910643984,76.10738255,,
XOM,"20MA, 50MA, 200MA, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,13.07184102,12.24561702,0.070503,1.879194631,,
XOM,"20MA, 50MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,4.235758654,3.585215677,0.902402905,70.73825503,,
XOM,"20MA, 50MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,4.348141472,3.563640529,0.897155325,75.16778523,,
XOM,"20MA, 50MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,5.975233005,5.090271528,0.805784374,55.03355705,,
XOM,"20MA, 50MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,5.947043246,4.886606296,0.80761258,61.20805369,,
XOM,"20MA, 50MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,4.894831008,4.067620091,0.869668353,65.77181208,,
XOM,"20MA, 50MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,3.953116709,3.345809123,0.914993184,76.91275168,,
XOM,"20MA, 50MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,6.693444629,5.928743316,0.756289731,43.22147651,,
XOM,"20MA, 50MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,4.931831065,4.166912728,0.867690551,66.7114094,,
XOM,"20MA, 50MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,5.611189187,4.603718038,0.828728815,61.0738255,,
XOM,"20MA, 50MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,5.982975184,5.012072746,0.805280753,57.31543624,,
XOM,"20MA, 50MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,5.951666726,4.927935647,0.807313323,57.31543624,,
XOM,"20MA, 50MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,6.107656719,5.370206957,0.797080531,48.99328859,,
XOM,"20MA, 50MA, RSI, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,33.0617452,30.19796481,-4.946015366,0.268456376,,
XOM,"20MA, 50MA, RSI, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,8.381971466,7.545411563,0.617820987,23.89261745,,
XOM,"20MA, 50MA, RSI, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,5.582246563,4.646092541,0.830491099,61.34228188,,
