Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
21,"20MA, Lower_BB, CCI, ATR, Williams_%R, OBV",128,0.5,0.001,16,5,1,150,0.798609139,93.12757202,1.084874313
21,"20MA, Lower_BB, CCI, ATR, Williams_%R, OBV",128,0.5,0.001,64,60,1,150,0.788865512,92.40506329,1.247750838
15,"RSI, MACD, CCI, ATR, Williams_%R, OBV",128,0.4,0.001,32,60,1,100,0.758107083,91.98312236,1.082219541
12,"20MA, 50MA, MACD, Lower_BB, CCI, OBV",64,0.7,0.0005,32,60,1,150,0.74231381,91.98312236,0.977891296
3,"20MA, 50MA, RSI, MACD, ATR, Williams_%R",64,0.6,0.001,32,60,1,150,0.764193666,91.98312236,0.878913683
13,"20MA, 50MA, RSI, MACD, CCI, ATR",32,0.3,0.0001,64,60,30,50,0.022164414,67.94871795,1.540098961
13,"50MA, RSI, Lower_BB, CCI, ATR, OBV",32,0.3,0.0001,64,60,30,50,0.039723804,67.94871795,1.485034785
8,"20MA, 50MA, RSI, MACD, CCI, ATR",32,0.2,0.0001,32,60,30,50,0.035894958,66.66666667,1.515380767
24,"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",32,0.8,0.0001,64,60,30,50,0.028807652,66.23931624,1.49015837
11,"50MA, Upper_BB, Lower_BB, ATR, Williams_%R, OBV",32,0.8,0.0001,64,60,30,50,0.049261351,65.81196581,1.784630405
