Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,RMSE,MAPE,R2,Accuracy,Profit Index
2,"50MA, MACD, Upper_BB, CCI, ATR, Williams_%R",128,3,3,0.4,0.001,64,60,1,100,leaky_relu,0.0132342055138146,2.4641745861372395,0.8968367503549322,92.40506329113924,1.1837845660172852
10,"20MA, MACD, Upper_BB, Lower_BB, CCI, OBV",128,3,3,0.2,0.001,32,60,1,150,leaky_relu,0.0140964082098765,2.664029649412229,0.8829567963937714,90.71729957805908,1.388246346397903
15,"20MA, 50MA, MACD, Upper_BB, Lower_BB, CCI",128,3,3,0.3,0.0005,32,60,1,150,leaky_relu,0.0149832466007688,2.817762706644649,0.8677665408973922,90.71729957805908,1.1564628222659377
19,"50MA, RSI, MACD, CCI, Williams_%R, OBV",128,3,2,0.3,0.001,64,60,1,100,leaky_relu,0.0143209428184663,2.680320312514294,0.8791984556919146,90.29535864978902,1.272228782945176
18,"20MA, RSI, MACD, ATR, Williams_%R, OBV",128,3,3,0.2,0.001,32,60,1,100,relu,0.0134432529785338,2.6254068913488613,0.8935518770584758,90.29535864978902,1.2587451505972962
13,"MACD, Lower_BB, CCI, ATR, Williams_%R, OBV",32,2,3,0.3,0.0001,64,60,30,50,leaky_relu,0.0390575901241325,7.870163151321831,0.177797942569217,44.01709401709402,1.410853846263261
10,"20MA, 50MA, RSI, MACD, Lower_BB, CCI",128,3,2,0.2,0.0005,64,60,30,150,leaky_relu,0.0398701127068713,8.098594212847747,0.1432327872170298,44.01709401709402,1.0821747639215296
19,"RSI, MACD, Lower_BB, CCI, ATR, OBV",64,3,3,0.3,0.0001,64,60,30,50,relu,0.0387600742656427,7.793685250654939,0.1902762586924589,42.73504273504273,1.1138869875452864
8,"20MA, 50MA, Lower_BB, CCI, ATR, OBV",32,3,2,0.3,0.0001,64,60,30,100,relu,0.0402037862069854,8.15929310293895,0.128832667185165,41.452991452991455,1.160410465327425
19,"50MA, MACD, Lower_BB, ATR, Williams_%R, OBV",32,2,2,0.2,0.0001,64,60,30,50,relu,0.0375829060280546,7.62107788653543,0.2387130446385085,40.5982905982906,1.6321359287570083
