Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,1,0.929901929407558,99.15611814345992,1.4144990811014226
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,1,0.9299019294076376,99.15611814345992,1.4144990811014226
"50MA, RSI, MACD, Upper_BB, Lower_BB, ATR",60,1,0.9299019294073844,99.15611814345992,1.4144990811014226
"20MA, 50MA, RSI, Upper_BB, Lower_BB, ATR",60,1,0.9299087718073114,99.15611814345992,1.388629921170565
"20MA, 50MA, RSI, Upper_BB, ATR, Williams_%R",60,1,0.92831488478058,99.15611814345992,1.291023519403118
"20MA, 50MA, CCI, ATR, Williams_%R, OBV",60,30,0.0905158677915913,64.52991452991454,1.06488594313937
"20MA, MACD, CCI, ATR, Williams_%R, OBV",60,30,0.109782133797065,62.82051282051282,1.0374126842135156
"RSI, MACD, CCI, ATR, Williams_%R, OBV",60,30,0.0709477074333029,60.68376068376068,1.2770520650430088
"20MA, RSI, CCI, ATR, Williams_%R, OBV",60,30,0.0732373285556453,60.68376068376068,1.1544360115286532
"20MA, Upper_BB, Lower_BB, CCI, Williams_%R, OBV",60,30,0.0595284822772999,60.256410256410255,1.0369168144862704
