Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
23,"20MA, 50MA, MACD, Lower_BB, CCI, ATR",128,3,3,0.3,0.001,32,60,1,150,leaky_relu,0.966682517,85.71428571,1.232583615
22,"20MA, 50MA, RSI, Upper_BB, Lower_BB, CCI",128,3,2,0.3,0.001,64,5,1,100,leaky_relu,0.960875273,82.71604938,1.018420578
6,"50MA, MACD, Upper_BB, Lower_BB, CCI, Williams_%R",128,2,2,0.2,0.0005,32,5,1,100,leaky_relu,0.964519544,82.30452675,1.054351301
10,"20MA, RSI, Upper_BB, Lower_BB, CCI, ATR",64,3,2,0.5,0.0005,32,60,1,150,leaky_relu,0.955525591,81.93277311,2.010755115
11,"50MA, RSI, MACD, Upper_BB, Lower_BB, CCI",128,3,2,0.4,0.001,32,60,1,150,leaky_relu,0.961583411,81.93277311,1.331286025
3,"50MA, MACD, Upper_BB, Lower_BB, CCI, OBV",32,2,2,0.4,0.0001,32,60,30,150,leaky_relu,0.306599602,42.12765957,1.201705616
21,"50MA, MACD, Upper_BB, Lower_BB, CCI, OBV",32,2,2,0.4,0.0001,32,60,30,150,leaky_relu,0.353878107,41.27659574,1.424559228
10,"RSI, MACD, Upper_BB, CCI, ATR, Williams_%R",64,3,3,0.5,0.0001,64,60,30,50,relu,0.440004203,40.42553191,1.174050487
11,"RSI, MACD, Upper_BB, ATR, Williams_%R, OBV",32,3,2,0.5,0.0001,64,60,30,50,leaky_relu,0.42336145,39.57446809,1.570875729
15,"20MA, RSI, MACD, Upper_BB, ATR, OBV",32,2,2,0.5,0.0001,64,60,30,50,relu,0.353495382,39.14893617,1.836874383
