Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
16,"20MA, 50MA, MACD, Upper_BB, CCI, ATR",32,0.8,0.001,16,60,1,150,0.915963183,95.41666667,1.25443792
22,"50MA, MACD, Upper_BB, Lower_BB, CCI, Williams_%R",128,0.3,0.001,64,60,1,150,0.92214405,95.41666667,1.253794855
21,"20MA, 50MA, Upper_BB, CCI, Williams_%R, OBV",128,0.5,0.001,16,5,1,150,0.914278168,94.71544715,0.844453551
24,"50MA, MACD, Upper_BB, Lower_BB, CCI, Williams_%R",128,0.2,0.001,64,60,1,150,0.92475899,94.58333333,1.34772935
22,"20MA, RSI, MACD, CCI, ATR, OBV",32,0.7,0.001,16,5,1,150,0.918121098,94.30894309,1.08235358
24,"50MA, RSI, MACD, Lower_BB, CCI, Williams_%R",32,0.5,0.0005,32,60,30,50,0.007814199,46.41350211,1.04619088
11,"50MA, RSI, MACD, Lower_BB, CCI, Williams_%R",32,0.6,0.0005,32,60,30,50,0.000742221,45.99156118,0.882365158
21,"50MA, RSI, MACD, Lower_BB, CCI, Williams_%R",32,0.4,0.0005,32,60,30,50,0.060159879,45.56962025,1.200695505
20,"20MA, Upper_BB, Lower_BB, CCI, ATR, Williams_%R",32,0.3,0.0001,32,60,30,100,0.001233308,45.56962025,1.103453926
18,"20MA, 50MA, RSI, Lower_BB, ATR, Williams_%R",64,0.3,0.0005,64,60,30,100,0.024980377,45.56962025,1.096245585
