Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
22,"20MA, 50MA, CCI, ATR, Williams_%R, OBV",128,2,2,0.3,0.0005,32,5,1,150,leaky_relu,0.966477675,66.66666667,1.115743568
14,"20MA, 50MA, MACD, Lower_BB, CCI, Williams_%R",128,2,2,0.2,0.0005,32,5,1,150,leaky_relu,0.966329481,66.2601626,0.615394667
11,"20MA, 50MA, Upper_BB, CCI, Williams_%R, OBV",128,2,2,0.3,0.0005,32,5,1,150,leaky_relu,0.960578672,66.2601626,0.562903649
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.2,0.0005,64,5,1,150,relu,0.959337302,65.85365854,1.125813927
23,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.2,0.0005,64,5,1,150,relu,0.955476632,65.85365854,0.888785995
16,"20MA, 50MA, MACD, Upper_BB, CCI, OBV",32,3,2,0.2,0.001,32,60,30,50,relu,0.263734122,38.39662447,1.22976009
8,"20MA, 50MA, MACD, ATR, Williams_%R, OBV",32,3,2,0.2,0.001,32,60,30,100,relu,0.151682843,34.59915612,1.463337977
0,"50MA, RSI, Lower_BB, CCI, ATR, OBV",32,3,3,0.2,0.001,64,60,30,50,relu,0.325266781,34.17721519,1.064215821
19,"50MA, MACD, Upper_BB, CCI, Williams_%R, OBV",128,3,3,0.2,0.001,32,60,30,50,leaky_relu,0.291349278,33.33333333,1.315628604
19,"50MA, MACD, Lower_BB, CCI, ATR, OBV",64,3,2,0.4,0.001,32,60,30,150,relu,0.211158296,33.33333333,1.289202137
