Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, RSI, MACD, Upper_BB, Lower_BB, OBV",5,1,0.9790046756278772,99.1869918699187,1.0798667145343797
"20MA, 50MA, RSI, Upper_BB, Lower_BB, OBV",5,1,0.978760530029629,99.1869918699187,0.9619227535407704
"50MA, RSI, MACD, Lower_BB, ATR, OBV",5,1,0.9786207784888952,99.1869918699187,0.9418887771030104
"20MA, MACD, Upper_BB, Lower_BB, CCI, OBV",5,1,0.9789298903306196,98.78048780487804,1.212976557815445
"20MA, RSI, MACD, Upper_BB, CCI, OBV",5,1,0.9789676094628424,98.78048780487804,1.1516903301565733
"20MA, 50MA, RSI, Upper_BB, CCI, Williams_%R",60,30,0.1945935638789676,44.72573839662447,1.0816170460980512
"20MA, 50MA, RSI, Lower_BB, CCI, Williams_%R",60,30,0.1945935638790219,44.72573839662447,1.0816170460980512
"50MA, RSI, Upper_BB, Lower_BB, CCI, Williams_%R",60,30,0.194593563879022,44.72573839662447,1.0816170460980512
"20MA, 50MA, Upper_BB, Lower_BB, ATR, Williams_%R",60,30,0.003020455808954,44.303797468354425,0.9484326137167708
"50MA, RSI, Upper_BB, CCI, Williams_%R, OBV",60,30,0.2404893748652133,44.303797468354425,0.9367306370335758
