Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
18,"20MA, 50MA, RSI, Upper_BB, Lower_BB, Williams_%R",64,0.6,0.001,16,60,1,100,0.9689415,75.41666667,1.072639527
21,"RSI, MACD, Upper_BB, Lower_BB, CCI, Williams_%R",64,0.3,0.001,64,60,1,150,0.971308246,75.0,1.11993294
10,"RSI, Upper_BB, Lower_BB, CCI, ATR, Williams_%R",32,0.5,0.001,16,60,1,100,0.967550903,74.58333333,1.321874778
22,"20MA, MACD, Upper_BB, CCI, ATR, OBV",64,0.7,0.001,32,60,1,150,0.962420704,74.58333333,0.583159609
24,"20MA, RSI, MACD, Lower_BB, CCI, Williams_%R",128,0.8,0.001,64,60,1,150,0.971455017,74.16666667,1.342565305
3,"20MA, MACD, Upper_BB, CCI, ATR, Williams_%R",128,0.4,0.001,64,60,30,50,0.421018795,31.64556962,1.398522324
14,"20MA, RSI, MACD, Lower_BB, CCI, ATR",32,0.2,0.0001,32,60,30,150,0.336700493,30.80168776,1.520615245
18,"RSI, MACD, Upper_BB, CCI, ATR, Williams_%R",64,0.3,0.001,64,60,30,50,0.40790633,29.95780591,1.653963351
17,"RSI, MACD, Upper_BB, Lower_BB, CCI, ATR",64,0.4,0.0001,32,60,30,50,0.362886909,29.95780591,1.421657602
21,"RSI, MACD, Upper_BB, CCI, ATR, Williams_%R",128,0.6,0.001,64,60,30,50,0.451646472,29.95780591,1.37973692
