Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
14,"20MA, 50MA, Lower_BB, CCI, ATR, Williams_%R",64,3,2,0.2,0.0005,64,5,1,150,leaky_relu,0.955462349,64.22764228,0.702295658
10,"20MA, 50MA, RSI, CCI, ATR, Williams_%R",128,2,2,0.2,0.001,64,5,1,150,leaky_relu,0.95932222,63.41463415,0.558828321
24,"20MA, 50MA, RSI, CCI, ATR, Williams_%R",128,2,2,0.3,0.001,64,5,1,150,leaky_relu,0.956706262,63.00813008,0.528253956
18,"20MA, 50MA, MACD, Lower_BB, CCI, Williams_%R",128,2,2,0.4,0.0001,64,5,1,150,relu,0.950964024,62.60162602,0.744613989
14,"20MA, 50MA, Upper_BB, Lower_BB, CCI, Williams_%R",128,2,2,0.3,0.001,64,5,1,150,relu,0.957635553,62.60162602,0.592328101
11,"20MA, 50MA, RSI, MACD, ATR, OBV",32,3,2,0.5,0.0001,64,60,30,50,relu,0.061767122,26.58227848,0.644065825
14,"20MA, Upper_BB, Lower_BB, CCI, ATR, OBV",32,2,3,0.5,0.0001,64,60,30,150,relu,0.043088815,24.05063291,0.769022452
16,"20MA, RSI, Upper_BB, CCI, ATR, OBV",32,3,3,0.3,0.0001,64,60,30,150,relu,0.052705166,23.20675105,0.752744745
3,"20MA, RSI, Upper_BB, Lower_BB, Williams_%R, OBV",32,2,3,0.3,0.0001,64,60,30,50,leaky_relu,0.106028626,22.78481013,1.051597956
13,"RSI, MACD, Lower_BB, ATR, Williams_%R, OBV",32,3,3,0.5,0.0001,64,60,30,50,relu,0.258101598,22.78481013,0.974527019
