Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
24,"20MA, 50MA, MACD, CCI, ATR, OBV",128,0.7,0.0005,32,5,1,150,0.966466262,73.98373984,0.941756282
23,"20MA, 50MA, RSI, MACD, Upper_BB, OBV",64,0.6,0.0005,16,5,1,150,0.965260648,73.98373984,0.729126835
16,"50MA, RSI, MACD, Upper_BB, CCI, ATR",128,0.4,0.001,16,60,1,100,0.961605684,73.33333333,0.857579267
1,"20MA, 50MA, RSI, MACD, Williams_%R, OBV",64,0.3,0.001,16,5,1,150,0.968848529,73.17073171,0.545354697
20,"RSI, MACD, Upper_BB, Lower_BB, ATR, Williams_%R",32,0.5,0.0005,16,60,1,150,0.961386328,72.91666667,0.617433598
16,"MACD, Lower_BB, CCI, ATR, Williams_%R, OBV",64,0.2,0.0001,64,60,30,50,0.05601891,23.20675105,1.940826564
24,"50MA, RSI, MACD, Upper_BB, CCI, OBV",32,0.8,0.0001,64,60,30,50,0.112722277,22.3628692,1.146611383
18,"20MA, MACD, CCI, ATR, Williams_%R, OBV",32,0.4,0.0001,64,60,30,50,0.030645698,22.3628692,1.029535474
21,"RSI, MACD, CCI, ATR, Williams_%R, OBV",128,0.4,0.0001,64,60,30,50,0.003381181,22.3628692,1.028143657
11,"RSI, MACD, CCI, ATR, Williams_%R, OBV",64,0.5,0.0001,64,60,30,50,0.034590271,21.51898734,1.2196872
