Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
21,"20MA, 50MA, Upper_BB, CCI, Williams_%R, OBV",32,3,2,0.3,0.0005,32,5,1,150,relu,0.935946883,73.17073171,0.987239379
20,"20MA, 50MA, RSI, Lower_BB, CCI, Williams_%R",128,3,2,0.3,0.001,64,5,1,150,leaky_relu,0.941057556,71.95121951,1.158338213
14,"20MA, 50MA, MACD, Upper_BB, CCI, Williams_%R",128,2,2,0.4,0.0005,32,5,1,150,leaky_relu,0.936062978,71.54471545,1.182342723
24,"20MA, RSI, Upper_BB, Lower_BB, CCI, Williams_%R",128,3,2,0.2,0.0001,32,5,1,150,relu,0.935141978,71.54471545,1.070674343
23,"20MA, 50MA, MACD, Lower_BB, CCI, Williams_%R",128,2,2,0.2,0.0005,64,5,1,150,relu,0.937211039,71.13821138,0.73298712
12,"20MA, 50MA, MACD, Upper_BB, CCI, ATR",128,3,2,0.3,0.001,64,60,30,100,relu,0.414238061,38.8185654,1.077189978
16,"20MA, RSI, MACD, Upper_BB, CCI, ATR",64,3,3,0.4,0.0005,64,60,30,100,leaky_relu,0.418915869,37.55274262,1.082713147
1,"20MA, 50MA, RSI, MACD, CCI, Williams_%R",64,3,2,0.5,0.001,64,60,30,150,leaky_relu,0.362652858,37.13080169,1.191970196
0,"20MA, RSI, MACD, Upper_BB, ATR, OBV",64,2,2,0.2,0.0005,32,60,30,50,relu,0.327296269,36.70886076,1.121962294
16,"20MA, 50MA, MACD, Upper_BB, Lower_BB, Williams_%R",64,3,2,0.2,0.001,32,60,30,50,leaky_relu,0.341624078,36.28691983,0.761491352
