Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
10,"20MA, RSI, MACD, Upper_BB, CCI, OBV",32,0.3,0.001,32,60,1,100,0.944264069,79.58333333,1.01271033
12,"50MA, RSI, MACD, CCI, Williams_%R, OBV",32,0.4,0.001,32,60,1,150,0.942378686,79.16666667,1.276261396
19,"50MA, RSI, Upper_BB, Lower_BB, CCI, Williams_%R",32,0.3,0.0005,16,5,1,150,0.949529747,78.86178862,0.869488619
24,"20MA, RSI, MACD, Upper_BB, Lower_BB, Williams_%R",128,0.3,0.001,32,60,1,150,0.94518915,78.75,1.253676384
18,"20MA, MACD, Upper_BB, CCI, ATR, OBV",64,0.5,0.0005,16,60,1,150,0.935112323,78.33333333,1.637813925
16,"20MA, 50MA, MACD, Upper_BB, CCI, ATR",64,0.6,0.001,16,60,30,150,0.414276056,35.02109705,0.940453777
8,"50MA, RSI, MACD, CCI, ATR, Williams_%R",64,0.2,0.0005,32,60,30,150,0.48245818,33.33333333,0.974503259
24,"20MA, RSI, MACD, Upper_BB, Lower_BB, Williams_%R",32,0.2,0.001,16,60,30,50,0.414551209,32.06751055,1.239567196
1,"20MA, RSI, MACD, Lower_BB, CCI, Williams_%R",64,0.6,0.0005,32,60,30,150,0.345815247,31.64556962,1.387285916
24,"20MA, MACD, Lower_BB, CCI, Williams_%R, OBV",64,0.4,0.001,32,60,30,150,0.369117612,31.22362869,1.287850948
