Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.4,0.0001,32,60,1,150,leaky_relu,0.036141079,55.2742616,0.995610539
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,64,60,1,150,relu,0.038026814,65.40084388,0.927051546
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.5,0.0001,32,60,1,100,leaky_relu,-5.286466724,24.47257384,0.921024314
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0001,32,60,1,100,relu,-3.042311075,33.75527426,0.996883208
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.0001,32,60,1,150,leaky_relu,-2.998450295,35.8649789,0.913328021
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.001,32,60,1,100,relu,-11.34350184,5.063291139,0.802724001
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.4,0.0005,32,60,1,100,relu,0.2558366,73.41772152,0.940025872
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.2,0.0001,64,60,1,100,relu,-5.165183471,16.87763713,0.849341497
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.3,0.001,32,60,1,100,relu,-3.125609058,8.860759494,0.825273678
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.2,0.0001,64,60,1,150,leaky_relu,-2.635685911,47.67932489,0.921427741
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.0005,64,60,1,50,relu,-4.744407313,26.16033755,0.863817144
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0005,64,60,1,50,relu,-3.53259779,3.375527426,0.825273678
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0005,64,60,1,150,relu,-2.526410886,22.78481013,0.849341497
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,1,150,relu,-2.535940964,38.8185654,0.971228152
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.2,0.0005,32,60,1,50,relu,-0.30050836,46.41350211,0.822048437
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.5,0.001,64,60,1,100,relu,-1.000218911,19.83122363,0.77481696
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0005,32,60,1,150,relu,0.371856048,74.6835443,0.982367033
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.0005,32,60,1,100,relu,-2.118360678,18.14345992,0.867720782
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.5,0.0005,32,60,1,150,leaky_relu,0.110089272,68.35443038,1.11872913
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,32,60,1,50,relu,0.152272555,73.83966245,1.324577944
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.5,0.0005,32,60,1,150,relu,-1.374987266,24.89451477,0.832861663
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,32,60,1,50,relu,0.219234588,69.62025316,1.349712469
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,32,60,1,50,relu,-8.885218642,4.219409283,0.825273678
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,32,60,1,50,relu,0.017995535,68.77637131,0.878462651
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,32,60,1,50,relu,-4.870416937,1.687763713,0.843035367
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.0001,32,60,30,50,relu,-12.17526536,15.81196581,1.071879052
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.5,0.0005,32,60,30,50,leaky_relu,-16.30276781,0,1.007509566
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.0005,32,60,30,100,leaky_relu,-9.783624353,15.81196581,1.050877102
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.0005,64,60,30,150,leaky_relu,-6.968318025,27.77777778,0.953683467
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0005,32,60,30,50,relu,-15.53426751,2.136752137,1.17643785
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.5,0.0005,32,60,30,100,leaky_relu,-11.60777559,3.846153846,1.050877102
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.001,64,60,30,50,leaky_relu,-19.36207145,14.52991453,1.007509566
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.3,0.0001,64,60,30,50,leaky_relu,-19.15119756,7.692307692,1.007509566
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.001,32,60,30,50,relu,-56.07603838,0,1.007509566
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,32,60,30,150,relu,-16.52232505,2.564102564,1.184419441
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0001,64,60,30,150,leaky_relu,-12.61016474,14.52991453,1.007509566
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.4,0.0005,64,60,30,100,leaky_relu,-12.16162531,21.79487179,1.002003819
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.5,0.0005,64,60,30,150,leaky_relu,-14.81116078,20.94017094,1.080904974
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.0005,64,60,30,100,leaky_relu,-8.044896679,36.75213675,1.069635699
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.5,0.0005,64,60,30,150,leaky_relu,-7.442811759,21.79487179,1.013280435
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.001,64,60,30,150,leaky_relu,-10.78665421,9.401709402,1.009989365
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0005,64,60,30,150,leaky_relu,-9.033338086,22.22222222,1.033986265
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.0005,64,60,30,150,leaky_relu,-13.75789569,13.67521368,1.007509566
