Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.001,64,60,1,100,0.794419828,65.53191489,0.729135628
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.0001,32,60,1,100,0.592279735,50.21276596,0.787291595
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.001,32,60,1,150,0.75339872,55.74468085,0.729916561
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.0005,16,60,1,150,-1.504938191,0.425531915,0.711877623
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.001,64,60,1,100,0.518733799,46.80851064,0.856832543
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,64,60,1,150,0.823155391,77.0212766,0.811165823
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,64,60,1,150,-0.093321007,20,0.777946747
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0005,32,60,1,50,0.575155326,35.74468085,0.7032108
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.001,64,60,1,100,0.795474916,68.5106383,0.692932891
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,16,60,1,150,0.065277355,14.89361702,0.711877623
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0001,64,60,1,50,0.392248398,44.25531915,0.694122924
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,64,60,1,100,0.849813361,80,0.838327728
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,64,60,1,150,0.880484101,81.70212766,0.793300277
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,64,60,1,100,0.864662809,80,0.840865699
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0001,64,60,1,50,-0.395264533,14.46808511,0.73980935
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0005,16,60,1,150,0.29165748,23.40425532,0.736523028
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.001,64,60,1,100,0.795354721,71.06382979,0.644707
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.001,64,60,1,150,0.887647854,83.82978723,0.712438411
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,32,60,1,150,0.887284946,85.95744681,0.619640063
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0005,32,60,1,150,0.913933607,87.65957447,0.957309781
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0005,32,60,1,150,0.671317105,40,1.024519423
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,32,60,1,150,0.906110622,86.80851064,0.592085372
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,32,60,1,150,0.902859428,88.5106383,0.63043952
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,32,60,1,150,0.917586356,88.08510638,0.610752512
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0005,32,60,1,150,0.850933689,77.44680851,0.73404255
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0005,32,60,30,50,-4.206988179,18.53448276,0.827975946
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,16,60,30,100,-7.901308766,0,0.827975946
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-2.548908083,19.82758621,0.978758375
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,32,60,30,100,-3.366441335,18.96551724,0.827975946
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.001,32,60,30,150,-3.913582856,19.82758621,0.827975946
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0005,16,60,30,100,-5.694715782,2.155172414,0.827975946
