Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,0.9646793885686797,98.73949579831933,0.830810586169124
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,-0.09021016643762003,63.829787234042556,0.9771482210365954
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",5,1,0.9728806938726419,99.1769547325103,0.9243152333890322
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,0.9647741461601042,98.73949579831933,1.0794655978117298
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,30,-0.24108903274369253,56.59574468085107,0.9195426005625402
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",5,1,0.972756871945738,99.1769547325103,0.9550990949681711
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,1,0.9627461669611646,99.15966386554622,0.8590679279278063
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,30,-0.03691162589946173,54.04255319148936,0.9538400059626257
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",5,1,0.9726299440031864,99.1769547325103,0.9371636591366871
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,1,0.9635196959551059,98.73949579831933,0.9623225813910922
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,30,-0.0485707642666815,57.02127659574469,0.9114660294267926
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",5,1,0.9728580530143313,99.1769547325103,1.0509941820314612
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,1,0.9636406409092887,98.73949579831933,0.9042666272377788
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,30,-0.41277974574514764,60.0,1.0057831830696007
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",5,1,0.9727038055109559,99.1769547325103,0.959120869547644
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,1,0.9647741461599526,98.73949579831933,1.0794655978117298
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,30,-0.24108903275360483,56.59574468085107,0.9195426005625402
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",5,1,0.9727568719457382,99.1769547325103,0.9550990949681711
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,1,0.9627461669613074,99.15966386554622,0.8590679279278063
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,30,-0.03691162590918706,54.04255319148936,0.9538400059626257
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",5,1,0.9726299440031864,99.1769547325103,0.9371636591366871
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,1,0.963519695954896,98.73949579831933,0.9623225813910922
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,30,-0.04857076426721996,57.02127659574469,0.9114660294267926
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",5,1,0.9728580530143313,99.1769547325103,1.0509941820314612
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,1,0.9636406409094886,98.73949579831933,0.9042666272377788
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,30,-0.4127797457516764,60.0,1.0057831830696007
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",5,1,0.9727038055109558,99.1769547325103,0.959120869547644
"20MA, 50MA, RSI, MACD, CCI, ATR",60,1,0.9666076728828901,99.15966386554622,1.1319496668180782
"20MA, 50MA, RSI, MACD, CCI, ATR",60,30,0.04343151890770813,65.1063829787234,0.9418989028446364
"20MA, 50MA, RSI, MACD, CCI, ATR",5,1,0.9726036090110656,99.1769547325103,0.9666718174854244
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",60,1,0.9676922740647377,99.15966386554622,1.0464056608352381
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",60,30,0.028355710892814856,58.723404255319146,0.9218696814009317
"20MA, 50MA, RSI, MACD, CCI, Williams_%R",5,1,0.9728454890970065,99.1769547325103,0.9695419399570672
"20MA, 50MA, RSI, MACD, CCI, OBV",60,1,0.9674991734813847,99.15966386554622,1.0142015958306534
"20MA, 50MA, RSI, MACD, CCI, OBV",60,30,-0.16158185886324627,62.5531914893617,0.8951236798872088
"20MA, 50MA, RSI, MACD, CCI, OBV",5,1,0.9727064946894397,99.1769547325103,0.979060094929196
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",60,1,0.9664087398885671,99.15966386554622,1.049666402227364
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",60,30,0.09609787723072982,54.46808510638298,0.9034784787167118
"20MA, 50MA, RSI, MACD, ATR, Williams_%R",5,1,0.9726634943202965,99.1769547325103,1.0565259584984035
"20MA, 50MA, RSI, MACD, ATR, OBV",60,1,0.9655381317949561,99.15966386554622,1.0290001611314659
"20MA, 50MA, RSI, MACD, ATR, OBV",60,30,-0.11654208333525329,55.74468085106383,0.9721825247017516
"20MA, 50MA, RSI, MACD, ATR, OBV",5,1,0.972567169857181,99.1769547325103,0.9811377854224975
"20MA, 50MA, RSI, MACD, Williams_%R, OBV",60,1,0.9669191762709923,99.15966386554622,1.0490892233386822
"20MA, 50MA, RSI, MACD, Williams_%R, OBV",60,30,-0.0887992881094013,56.17021276595745,0.9261491400895924
"20MA, 50MA, RSI, MACD, Williams_%R, OBV",5,1,0.9727542644961368,99.1769547325103,0.9782470041221308
"20MA, 50MA, RSI, Upper_BB, Lower_BB, CCI",60,1,0.9654914848177021,98.73949579831933,0.9992024546311661
