Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.0001,64,60,1,50,relu,0.614774056,58.33333333,1.012363123
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0005,32,60,1,50,leaky_relu,0.556955698,48.33333333,0.730005443
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.4,0.001,32,60,1,100,relu,-0.119578837,26.25,0.752407316
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0005,32,60,1,50,leaky_relu,-0.444582841,20,0.674580156
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0001,64,60,1,150,relu,0.531642377,50.83333333,0.735805654
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.001,64,60,1,100,relu,0.534891467,50.83333333,0.755332438
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.2,0.0005,32,60,1,150,leaky_relu,0.818182058,79.16666667,0.801381998
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.2,0.0005,32,60,1,50,relu,0.467537085,48.33333333,1.142479936
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.2,0.0005,32,60,1,150,relu,0.611097169,53.33333333,0.730406583
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.001,32,60,1,100,leaky_relu,0.386124275,43.33333333,0.789165254
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.3,0.0005,64,60,1,150,leaky_relu,0.324641714,38.33333333,0.786465777
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.3,0.0001,64,60,1,50,leaky_relu,0.266025669,41.66666667,0.826771051
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.2,0.0001,64,60,1,150,relu,0.562208878,55.41666667,0.849311574
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.3,0.0001,64,60,1,150,leaky_relu,0.510822823,52.91666667,0.774897933
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.2,0.0001,32,60,1,50,relu,0.121322422,31.66666667,0.84380782
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,1,150,leaky_relu,0.505947099,47.5,1.190633792
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0001,32,60,1,50,relu,0.721638628,67.08333333,0.89651681
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.0001,32,60,1,150,leaky_relu,0.641945793,59.16666667,0.831093472
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.5,0.0005,32,60,1,50,leaky_relu,0.631615643,58.75,0.8320146
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.4,0.001,32,60,1,100,relu,-1.43030564,2.916666667,0.692733879
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0001,32,60,1,50,leaky_relu,0.694352235,62.91666667,0.785642306
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0001,32,60,1,50,leaky_relu,0.640903855,60.41666667,0.954055404
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0001,32,60,1,50,leaky_relu,0.618955358,58.33333333,0.850529361
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.0001,32,60,1,50,leaky_relu,-0.140441245,21.25,0.671583851
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.5,0.0001,32,60,1,50,leaky_relu,0.457684056,46.25,0.73985451
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.001,64,60,30,100,leaky_relu,-2.522299282,16.87763713,0.814625997
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.001,32,60,30,50,leaky_relu,-0.689906399,33.33333333,0.872303078
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.2,0.0005,64,60,30,50,leaky_relu,-1.511850499,22.78481013,0.887958607
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.5,0.0001,64,60,30,50,relu,-2.152441975,16.03375527,0.856014425
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.3,0.001,64,60,30,100,relu,-2.124958318,20.67510549,0.823851777
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,64,60,30,100,relu,-1.314281077,26.58227848,0.954761516
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.4,0.0005,64,60,30,150,leaky_relu,-2.644600895,17.72151899,0.913003094
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.3,0.0005,64,60,30,50,leaky_relu,-1.961715691,20.67510549,0.919888709
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.2,0.0005,32,60,30,150,leaky_relu,-6.679885313,8.016877637,0.828649182
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.4,0.0005,64,60,30,50,relu,-2.566362279,19.4092827,0.842139043
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,-8.399930468,1.265822785,0.828649182
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.3,0.0001,32,60,30,100,relu,-1.976625756,18.14345992,0.904682217
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.5,0.001,32,60,30,100,relu,-0.798066188,27.00421941,0.944323439
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.001,32,60,30,100,relu,-1.395920403,21.51898734,0.923124786
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,150,leaky_relu,-0.683199425,29.53586498,0.886577771
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,150,leaky_relu,-1.193387507,28.69198312,0.871062254
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.001,32,60,30,150,leaky_relu,-2.841871251,16.4556962,0.805555289
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.0001,32,60,30,150,leaky_relu,-3.44561508,18.56540084,0.814625997
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.001,32,60,30,50,leaky_relu,-2.869755848,9.282700422,0.828649182
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.5,0.001,32,60,30,150,leaky_relu,-1.633925494,22.78481013,0.870338523
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.001,32,60,30,150,leaky_relu,-0.582543824,21.09704641,1.247283824
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.001,32,60,30,150,leaky_relu,-0.718984165,35.02109705,0.856943052
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,150,leaky_relu,-3.238031334,15.18987342,0.805555289
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.001,32,60,30,150,leaky_relu,-1.041409626,35.8649789,0.853411365
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,150,leaky_relu,-2.307725664,20.67510549,0.814625997
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.636626803,55,0.77220784
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0001,32,60,1,50,leaky_relu,0.185777637,35.83333333,0.708986274
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.001,32,60,1,50,relu,-0.251364535,24.58333333,0.700500094
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.0001,64,60,1,100,relu,0.257385015,38.75,0.712854827
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.5,0.0005,32,60,1,100,leaky_relu,0.263105388,30,0.709841808
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0005,64,60,1,100,relu,0.595090404,58.33333333,0.935365052
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.4,0.0001,32,60,1,50,leaky_relu,0.574835072,53.75,0.812515767
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.2,0.001,64,60,1,150,relu,0.505976641,50.83333333,0.846554607
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.5,0.001,64,60,1,150,leaky_relu,-0.010362516,34.16666667,0.761179038
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.0005,32,60,1,50,relu,0.436465998,44.16666667,0.857067286
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.705082239,65.41666667,0.945240645
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.173764402,39.16666667,0.744296401
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.696673725,61.66666667,0.863095132
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0001,32,60,1,150,leaky_relu,0.69155731,63.33333333,0.821060869
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0001,32,60,1,150,leaky_relu,0.686181148,64.58333333,0.99298226
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,-0.010271303,29.58333333,0.698940227
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.784533798,72.08333333,0.794304614
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0001,32,60,1,150,leaky_relu,0.384302665,44.58333333,0.784658344
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.001,64,60,1,150,leaky_relu,0.560917765,56.66666667,0.953692971
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0005,32,60,1,100,leaky_relu,0.324643752,36.66666667,0.716773807
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.5,0.0001,32,60,1,150,leaky_relu,-0.356670021,28.33333333,0.820448651
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.648441443,61.25,0.934049708
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.723135688,67.91666667,0.980697554
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,-0.09250382,37.5,0.858277665
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,leaky_relu,0.330040006,41.25,0.771427367
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.001,64,60,30,150,leaky_relu,-1.842240896,24.89451477,0.875693425
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.4,0.0001,64,60,30,150,relu,-1.959048648,21.94092827,0.833235535
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.5,0.001,32,60,30,100,leaky_relu,-5.613215431,6.329113924,0.828649182
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.2,0.0005,32,60,30,100,relu,-2.680090341,18.14345992,0.92456482
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.4,0.001,64,60,30,100,leaky_relu,-2.363190142,15.18987342,0.899562437
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.4,0.0001,32,60,30,50,leaky_relu,-1.526200828,25.73839662,0.997011915
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.001,32,60,30,50,leaky_relu,-1.281571032,34.17721519,0.96582458
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0001,64,60,30,100,leaky_relu,-2.600050611,24.47257384,0.992157442
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0005,64,60,30,150,relu,-2.869284673,11.81434599,0.837839637
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.3,0.0005,64,60,30,150,leaky_relu,-4.964764695,8.438818565,0.845324221
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.3,0.001,32,60,30,50,relu,-2.042200933,26.58227848,0.897314362
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0001,32,60,30,50,leaky_relu,-1.763687102,21.51898734,0.912191936
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0001,32,60,30,50,leaky_relu,-3.038486017,18.56540084,0.800281278
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0001,32,60,30,50,leaky_relu,-1.361586728,21.51898734,0.897619706
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.3,0.001,32,60,30,50,leaky_relu,-2.80948156,14.34599156,0.965105583
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.001,32,60,30,50,leaky_relu,-2.48001162,12.65822785,0.841701688
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.2,0.0001,32,60,30,50,leaky_relu,-1.608872653,18.56540084,0.929781586
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.001,32,60,30,50,leaky_relu,-1.175757723,31.22362869,0.942972324
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.001,32,60,30,50,relu,-1.028304743,29.95780591,0.933306597
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.001,32,60,30,50,relu,-0.682782245,20.67510549,1.217728041
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.001,32,60,30,50,relu,-0.221294248,31.64556962,1.147504865
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.001,32,60,30,50,relu,-1.339674866,32.91139241,0.870252191
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.001,32,60,30,50,relu,-0.523285726,35.02109705,0.921282936
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.001,32,60,30,50,relu,-1.236085832,32.91139241,0.916768211
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.001,32,60,30,50,relu,-1.125998682,32.91139241,0.932352958
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0001,32,60,1,150,relu,0.566411327,53.75,0.824681265
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.4,0.0005,32,60,1,50,relu,-0.936065823,12.91666667,0.692733879
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.5,0.0001,32,60,1,100,relu,0.519332106,50.83333333,0.713449478
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,32,60,1,100,relu,-0.885061607,19.58333333,0.731683451
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.0005,64,60,1,150,leaky_relu,-0.195719452,23.75,0.714503098
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.3,0.0005,32,60,1,50,leaky_relu,-3.117259715,0,1
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.001,32,60,1,150,leaky_relu,-0.011389057,20,0.706300198
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.3,0.001,32,60,1,100,leaky_relu,0.650803154,57.5,0.849811266
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,64,60,1,100,relu,-0.406702317,25.83333333,0.752111702
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,64,60,1,50,leaky_relu,-0.809104633,25.41666667,0.731811878
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.2,0.001,64,60,1,100,leaky_relu,-0.07241332,34.16666667,0.696704938
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.2,0.0001,32,60,1,150,relu,0.517797468,50,0.671227904
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.3,0.001,32,60,1,150,leaky_relu,0.536419235,53.75,0.969385847
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.5,0.001,32,60,1,150,relu,0.297271801,42.08333333,0.819921408
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.3,0.0001,32,60,1,100,relu,-0.081263253,25,0.756537488
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.2,0.001,32,60,1,100,leaky_relu,-1.734952679,7.083333333,0.701309718
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.0001,32,60,1,150,relu,0.57534333,56.25,0.790828532
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,32,60,1,100,leaky_relu,0.658202034,54.16666667,0.834925706
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.3,0.001,64,60,1,100,leaky_relu,0.22139396,39.58333333,0.856787858
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,32,60,1,100,leaky_relu,0.282075099,45.83333333,0.802427285
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.3,0.001,32,60,1,100,leaky_relu,0.2942283,42.5,0.693260527
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,32,60,1,100,leaky_relu,0.3075694,34.58333333,0.726516712
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,32,60,1,150,leaky_relu,-0.417047264,32.08333333,0.840332138
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,32,60,1,50,relu,0.239778475,42.5,0.871855901
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.4,0.0001,32,60,1,100,leaky_relu,0.663494856,53.75,0.722180006
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.0005,64,60,30,100,relu,-4.4899077,11.39240506,0.828649182
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0001,32,60,30,100,leaky_relu,-1.243453799,24.89451477,0.858558779
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.4,0.0005,64,60,30,150,relu,-0.697814321,23.20675105,0.949187753
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.4,0.0005,32,60,30,50,leaky_relu,-2.543663469,15.18987342,0.838907612
