Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,32,60,1,100,0.825903297,79.16666667,0.809459384
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0005,64,60,1,100,0.108920613,19.58333333,0.692733875
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.0001,16,60,1,150,0.868450917,83.75,0.824657026
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0005,16,60,1,150,0.211518934,30.41666667,0.73943057
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0005,16,60,1,100,0.309712383,40.41666667,0.627487261
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.001,16,60,1,50,0.466252573,47.5,0.653696504
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0001,16,60,1,150,0.629070501,55.83333333,0.781659455
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,32,60,1,150,0.800261053,73.75,0.75389479
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.3,0.0001,32,60,1,50,0.670353551,58.75,1.084209609
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.0001,16,60,1,100,0.809550643,77.08333333,0.682503998
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0001,64,60,1,150,0.788870238,71.66666667,0.914143436
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0005,32,60,1,100,0.79873694,74.16666667,0.704736009
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0001,32,60,1,150,0.724824076,64.58333333,1.206314089
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,32,60,1,100,0.790247833,72.91666667,0.685128712
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.001,64,60,1,50,0.804945392,72.91666667,0.933783075
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0001,16,60,1,150,0.751179608,68.33333333,0.778388277
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0005,32,60,1,100,0.572297699,58.75,1.208279066
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0005,16,60,1,150,0.918633971,93.33333333,1.14970667
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.0001,16,60,1,150,0.723603803,64.16666667,0.892301796
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.001,16,60,1,150,0.896490829,89.58333333,0.972749571
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.001,16,60,1,150,0.769724354,68.75,0.751367472
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.001,16,60,1,150,0.723815823,63.33333333,0.68351905
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.001,16,60,1,150,0.884808373,86.25,0.86283932
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.001,16,60,1,150,0.042946439,22.91666667,0.699204688
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.001,16,60,1,150,0.823936055,78.75,0.765493703
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0001,32,60,30,150,-0.011578631,35.8649789,1.156038464
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,30,50,-0.290857874,38.8185654,1.030336077
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.001,32,60,30,100,-0.243232158,35.8649789,1.067206507
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0001,16,60,30,100,-0.03759435,39.66244726,1.209687859
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0001,64,60,30,100,-0.664217758,35.6846473,0.893402352
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0001,64,60,30,50,-0.072835488,29.95780591,1.245358911
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0005,16,60,30,100,-0.680275276,29.95780591,0.907735324
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0005,16,60,30,100,-0.646679021,30.37974684,0.916103142
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.0005,32,60,30,150,-0.386172292,39.24050633,0.917995467
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,16,60,30,150,-3.523338536,9.70464135,0.828648974
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.0001,32,60,30,150,-0.328589968,33.75527426,1.393117057
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0001,16,60,30,150,-0.535701068,29.53586498,1.374134845
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0001,32,60,30,100,-0.303409815,29.11392405,1.05028492
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.0001,16,60,30,150,-0.656837247,29.04564315,0.944469051
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0001,64,60,30,50,-1.210549813,23.20675105,1.174305527
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0001,32,60,30,100,-0.091879675,40.08438819,1.212787809
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0001,16,60,30,150,-0.132567663,38.39662447,1.240112748
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0001,32,60,30,100,-0.392245823,29.11392405,1.004567981
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.001,16,60,30,150,-0.451280928,32.91139241,0.879522676
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,64,60,30,50,-4.862307877,1.687763713,1
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0001,16,60,30,150,0.010847834,33.33333333,1.199438019
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0001,16,60,30,150,-0.454097772,31.22362869,1.378092719
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0001,16,60,30,150,-1.856843157,23.62869198,0.872970224
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0001,16,60,30,150,-2.663971803,16.4556962,0.844200079
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0001,16,60,30,150,-0.004868454,33.75527426,1.111806012
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0005,64,60,1,150,0.779017636,72.08333333,0.836771222
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0001,16,60,1,50,0.815097498,77.91666667,0.843700926
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.0005,16,60,1,50,0.85699773,82.91666667,0.819444113
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.2,0.001,64,60,1,150,0.90931463,88.75,0.948954359
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,32,60,1,150,0.711264705,63.33333333,0.73402331
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0005,16,60,1,100,0.572008607,49.59016393,0.752053862
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.2,0.0005,16,60,1,100,0.07256003,28.68852459,0.701952148
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.001,16,60,1,100,0.845358319,78.75,0.701614488
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,32,60,1,100,0.784884646,70.41666667,0.639469739
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.0005,16,60,1,50,-1.472736437,17.91666667,1.107333288
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.0001,64,60,1,150,0.829061987,77.91666667,0.95086483
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.001,64,60,1,50,0.792198908,76.66666667,1.042566149
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.889754243,87.5,0.957792226
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.860845382,83.60655738,0.751021831
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.900127915,90.41666667,1.191496436
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,64,60,1,150,0.908965808,89.3442623,1.193307824
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0001,64,60,1,150,0.536252197,52.91666667,1.057854447
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,150,0.868714182,83.75,0.763988402
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.001,32,60,1,150,-1.353904418,33.33333333,1.225490666
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.753458208,65.83333333,0.763488302
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,64,60,1,150,0.773692503,70.41666667,0.857341059
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.816063337,72.91666667,0.737097877
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,64,60,1,150,0.896932568,88.75,1.23775027
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.2,0.001,64,60,1,150,0.873429306,84.58333333,0.84131649
