Trial,Indicators,Window Size,Forecast Window,Model Type,Alpha,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.01042804088349408,0.07164708689563952,11.131050554251768,-0.813454016921028,16.25,1.12190847389448
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0907775599010151,0.016269586871378337,2.4078114229399317,0.9064890381847771,88.33333333333333,1.0609602099947646
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0001059532320069766,0.016219745317960922,2.3912728467027793,0.9070610985088996,88.75,0.9371248422671667
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,9.099085103794302,0.026105939681214742,4.009322091687604,0.759237893690217,68.75,0.7260910977808117
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.005099444017722195,0.0349733353371233,5.042297600836442,0.5679006850162298,53.75,1.4934203494824412
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.004733071440317397,0.03270961147518754,4.715628250973954,0.6220274637314138,55.833333333333336,1.4934203494824412
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.028634291805513364,0.2265724142866096,40.10356811051821,-17.13524964909014,0.0,1.0
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0001519988633578494,0.016134497031466723,2.3783410706806665,0.9080354740332858,88.75,0.8403523557433953
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.00016608878449446632,0.016113013496110083,2.3751186819948793,0.9082802176749276,89.16666666666667,0.8403523557433953
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.00011197280808927357,0.01620697942554873,2.389273510386688,0.9072073376873762,88.75,0.8756053317522695
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0006401751122470404,0.01578682602872269,2.3253238842413975,0.9119561308323748,89.16666666666667,0.9110653135978578
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0010235631128127632,0.015682268279142018,2.3080645509003017,0.9131185156928663,89.16666666666667,0.9209610277511275
