Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0005,16,60,1,50,"(25, 1)",ReLU,0.034661089292851235,5.338238780734436,0.5755819266210049,52.916666666666664,0.7581980140524525
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.8,0.001,32,60,1,50,"(16, 1)",Sigmoid,0.04747229457634489,7.293316730544955,0.2038591593786394,40.416666666666664,0.6872697936636019
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.6000000000000001,0.0005,64,60,1,150,"(25, 1)",ReLU,0.021123214701302007,3.155289974303208,0.8423734094366547,80.41666666666667,0.8825989324001843
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.7,0.001,32,60,1,50,"(16, 1)",Tanh,0.04270022131879689,6.513971882500242,0.3558756646900272,42.083333333333336,0.811617104040782
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.30000000000000004,0.0001,64,60,1,100,"(25, 1)",Tanh,0.0280137096825681,4.126143053608313,0.7227633116844088,65.83333333333333,0.8439036953637071
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.001,64,60,1,100,"(25, 1)",ReLU,0.06503934274838338,10.452865907090198,-0.494382396477544,30.833333333333336,1.0068967889092006
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.30000000000000004,0.001,32,60,1,150,"(25, 1)",Tanh,0.030163885333893012,4.656890864537739,0.678571769370141,55.00000000000001,0.9056778171244576
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.4,0.0001,32,60,1,150,"(16, 1)",Sigmoid,0.07735187028791074,12.709359321595631,-1.1137376988392291,25.833333333333336,0.8099956702850725
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.6000000000000001,0.001,64,60,1,50,"(25, 1)",Tanh,0.029855333201341126,4.268648990918292,0.685114037572032,62.083333333333336,1.1357931381047421
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.4,0.001,32,60,1,50,"(25, 1)",ReLU,0.05893872572544689,9.552522373963246,-0.22718754628666193,28.333333333333332,0.725846173808197
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.8,0.0005,16,60,1,150,"(16, 1)",ReLU,0.09317150680263053,13.696306787344842,-2.0667310722022303,15.833333333333332,1.1329215064907148
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.2,0.0001,64,60,1,100,"(25, 1)",Tanh,0.03731399192309076,5.241336309915868,0.5081271157118297,55.41666666666667,1.0374866478878761
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.2,0.0001,64,60,1,100,"(25, 1)",ReLU,0.03502757592922936,5.622766201596399,0.5665593673287455,44.583333333333336,0.6272973953842207
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0005,64,60,1,100,"(25, 1)",Tanh,0.03538788031087035,5.600284731139025,0.5575964994118852,50.416666666666664,0.7575907701804079
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.4,0.0001,64,60,1,150,"(25, 1)",Sigmoid,0.05063611825249875,7.682041435985444,0.09420427611873694,41.25,0.8295576184605558
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.6000000000000001,0.0005,64,60,1,100,"(25, 1)",ReLU,0.048399056605012744,7.096185070048441,0.17247095042651428,37.083333333333336,1.1817472862267626
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.0005,64,60,1,150,"(25, 1)",Tanh,0.060590845415114,9.436249078973301,-0.29695073511053693,17.5,1.0217953425634871
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.5,0.0001,16,60,1,100,"(25, 1)",ReLU,0.034196748665566414,5.258072805876828,0.5868772721669862,53.333333333333336,0.7934558090037876
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.7,0.0005,64,60,1,150,"(16, 1)",Tanh,0.023961474982101466,3.519677143787667,0.7971679632989932,71.25,1.037376102227978
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.7,0.0005,64,60,1,150,"(16, 1)",Sigmoid,0.02643512327993426,4.1097405183392,0.7531278294725291,67.08333333333333,0.7470962177904489
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.7,0.0005,16,60,1,150,"(16, 1)",Tanh,0.021757020866067275,3.234509725446813,0.8327722633694559,79.16666666666666,0.8249757536032685
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.7,0.0005,16,60,1,150,"(16, 1)",Tanh,0.35633803093082933,63.742084333485714,-43.857369972711396,0.0,1.0
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.7,0.0005,16,60,1,150,"(16, 1)",Tanh,0.071665166399332,10.520480485070905,-0.8143692735418917,34.583333333333336,0.7287004487530163
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.8,0.0005,16,60,1,150,"(16, 1)",Tanh,0.08354400468240321,11.977586781189544,-1.4656988576037873,21.25,1.0917256918518614
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Tanh,0.08353787931562537,11.975479585659125,-1.4653373054793994,21.25,1.0917256918518614
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.001,16,60,30,50,"(25, 1)",Tanh,0.08574994677743908,12.315024517654566,-1.4903499705542234,20.253164556962027,1.1913120014055314
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.7,0.0001,16,60,30,150,"(16, 1)",ReLU,0.05451222456151843,8.299924583818983,-0.006422819479307451,35.0210970464135,1.1744547140177766
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.5,0.0001,16,60,30,50,"(25, 1)",Tanh,0.05982446245638543,9.11249648053656,-0.21213299957327414,40.08438818565401,1.0606772023201854
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.7,0.0005,16,60,30,100,"(25, 1)",Tanh,0.36784782132358346,66.32135956668475,-44.82780337555308,0.0,1.0
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,30,150,"(16, 1)",Tanh,0.0898236206976101,14.918185246946807,-1.732585621741063,21.518987341772153,0.8950927632455392
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.8,0.0005,64,60,30,50,"(16, 1)",ReLU,0.05598679801987136,8.551866870847435,-0.0616073705360658,38.81856540084388,1.155996925020857
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.2,0.0001,64,60,30,100,"(16, 1)",Tanh,0.05723124139465993,8.592176886079478,-0.10932550258777818,27.848101265822784,1.274048165737292
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.0001,32,60,30,150,"(16, 1)",Sigmoid,0.055212792465003886,8.317462617027795,-0.03245727850957181,37.130801687763714,1.2541667485442374
