Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.0001,64,60,1,100,relu,0.817268401,43.75,0.55979417
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.3,0.0005,32,60,1,150,relu,0.355098038,21.25,0.659340266
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.2,0.0005,32,60,1,50,relu,0.709704265,22.91666667,0.521185514
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.5,0.0001,32,60,1,50,relu,0.44901252,16.25,0.677997887
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,3,0.5,0.0001,32,60,1,150,leaky_relu,0.750059632,25,1.049016872
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.5,0.001,32,60,1,150,leaky_relu,0.678948494,26.25,0.565744544
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,64,60,1,150,leaky_relu,0.348822981,23.75,0.567906201
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,32,60,1,150,leaky_relu,0.759120409,21.66666667,0.594941838
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.0001,64,60,1,50,leaky_relu,0.651576451,32.5,0.7517234
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.3,0.0005,32,60,1,150,leaky_relu,0.79601184,28.33333333,0.601558967
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.4,0.0001,64,60,1,100,relu,0.735662341,35.83333333,0.492153597
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0005,64,60,1,100,relu,0.308730769,15.41666667,0.59463361
