Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,32,60,1,100,0.875453009,33.33333333,0.488196271
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0001,32,60,1,50,0.70125353,30.41666667,0.673531569
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.0001,32,60,1,150,0.802317967,37.08333333,0.715302461
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.0001,64,60,1,50,0.499446684,17.91666667,1.403720398
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,16,60,1,150,0.912003274,36.66666667,0.623676585
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0005,32,60,1,100,0.873678053,45,0.978607911
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0001,64,60,1,150,0.779362918,26.25,0.860891442
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0005,32,60,1,100,0.849710339,39.16666667,0.732855344
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0001,16,60,1,150,0.915648242,50.41666667,0.447151886
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0005,16,60,1,150,0.941295619,52.5,0.748422577
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.001,16,60,1,150,0.712316676,13.75,0.786289137
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0005,16,60,1,150,0.946757973,50.41666667,0.65427802
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0005,16,60,1,150,0.961788459,63.75,0.685462989
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0005,16,60,1,150,0.932035437,44.58333333,0.691373908
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0005,16,60,1,150,0.929574481,40.83333333,0.605688645
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0005,16,60,1,50,0.661673869,13.75,0.817306966
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,16,60,1,150,0.967621277,71.25,0.711668318
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,64,60,1,150,0.949679021,65.83333333,0.610769773
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,16,60,1,100,0.799831854,39.58333333,0.565022815
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0005,16,60,1,50,0.8080245,18.75,0.557580457
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.001,64,60,1,150,0.941241484,62.5,0.573922365
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,64,60,1,150,0.949119377,64.16666667,0.666658785
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,64,60,1,150,0.948401632,64.16666667,0.724938211
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,64,60,1,150,0.664927538,5.416666667,0.602180773
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.3,0.001,64,60,1,150,0.95209596,63.33333333,0.691993365
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,16,60,30,150,-0.572205794,12.65822785,0.779607395
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0001,16,60,30,50,0.291653814,13.92405063,1.15846066
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.001,32,60,30,50,0.090586743,13.92405063,0.697283853
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0005,16,60,30,150,-0.438165306,10.97046414,0.82700699
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0005,32,60,30,150,0.02220684,12.65822785,0.690313571
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.3,0.0001,64,60,30,50,0.237266063,16.4556962,1.392553296
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.2,0.0005,64,60,30,50,0.351457774,28.69198312,1.422142028
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0001,16,60,30,50,-0.383475099,10.54852321,0.692196854
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,16,60,30,50,-0.450511275,13.5021097,0.782722928
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0005,32,60,30,100,0.213971939,15.18987342,0.629209809
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.0005,64,60,30,100,0.285531531,20.25316456,0.954269565
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0001,64,60,30,50,0.238546226,16.4556962,1.364743583
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.0001,64,60,30,50,0.22006775,16.4556962,1.197941006
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.3,0.0001,16,60,30,50,0.343619278,13.92405063,1.01729913
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.001,64,60,30,50,0.262988646,9.70464135,1.0085429
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.3,0.0005,16,60,30,100,-1.030543823,1.687763713,0.82700699
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0001,64,60,30,50,0.404613744,17.72151899,0.949880428
