Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.5,0.0005,64,60,1,150,relu,0.84198961,36.66666667,0.741449061
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.4,0.0001,32,60,1,50,relu,0.723771154,29.58333333,0.635103697
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,2,0.2,0.0001,32,60,1,50,relu,0.6629197,23.75,0.433454948
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.4,0.0001,32,60,1,150,relu,0.570475449,22.91666667,0.476863122
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.2,0.001,64,60,1,150,leaky_relu,0.797632161,22.5,0.519917284
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.3,0.0005,32,60,1,150,relu,0.869298757,39.58333333,0.764020178
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.3,0.0001,64,60,1,50,relu,0.748127591,25.41666667,0.578374033
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0005,64,60,1,50,leaky_relu,0.846602123,36.25,0.581483379
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.2,0.001,64,60,1,150,leaky_relu,0.639010843,26.66666667,0.62730513
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.2,0.001,32,60,1,50,relu,0.548933149,11.66666667,0.481466984
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.3,0.0005,32,60,1,100,leaky_relu,0.489696353,12.91666667,0.454493922
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.5,0.0005,64,60,1,100,leaky_relu,0.78490124,33.33333333,0.61736192
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0005,64,60,1,150,leaky_relu,0.809556016,30,0.511582573
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.3,0.0005,32,60,1,50,leaky_relu,0.560057567,25.41666667,0.517520374
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.4,0.0005,64,60,1,100,relu,0.761681315,27.91666667,0.518867478
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.3,0.0005,32,60,1,50,leaky_relu,0.702221123,20,0.460684769
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.0005,64,60,1,150,relu,0.791931489,35,0.877345009
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0005,32,60,1,150,leaky_relu,0.81888052,30,0.407987791
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.3,0.0005,32,60,1,50,relu,0.318429991,12.91666667,0.553686644
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,64,60,1,100,leaky_relu,0.888360396,39.58333333,0.539896514
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.3,0.001,64,60,1,100,relu,0.827361271,33.33333333,0.518017248
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,64,60,1,100,leaky_relu,0.90652465,46.66666667,0.492110904
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,64,60,1,100,leaky_relu,0.89033697,37.08333333,0.394454269
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.5,0.001,64,60,1,100,leaky_relu,0.886843809,37.91666667,0.72927987
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,64,60,1,100,leaky_relu,0.864965038,35.41666667,0.427819541
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.001,32,60,30,150,leaky_relu,-1.460320913,14.34599156,0.650373786
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.2,0.0005,32,60,30,150,relu,-0.79769516,13.5021097,0.756629869
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.5,0.001,32,60,30,50,leaky_relu,-2.310154783,4.219409283,0.650373786
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.001,32,60,30,150,relu,-2.173013809,10.12658228,0.646377454
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.2,0.0001,32,60,30,100,leaky_relu,-1.511939561,8.438818565,0.643763256
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.2,0.0001,32,60,30,100,relu,-0.932183822,9.282700422,0.71707257
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.4,0.0001,32,60,30,150,relu,-0.375782747,17.72151899,0.837581854
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,2,0.5,0.001,32,60,30,150,relu,-1.218893233,9.70464135,0.688740189
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.2,0.0001,32,60,30,50,relu,-0.867874684,7.594936709,0.646869301
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,32,60,30,100,relu,-0.692109161,10.54852321,0.680586113
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,64,60,30,150,leaky_relu,-0.428620928,10.54852321,0.66848054
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,3,0.4,0.0005,64,60,30,150,leaky_relu,-0.612494246,8.016877637,0.714713483
