Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0001,32,60,1,150,0.932755987,46.66666667,0.426850978
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.001,16,60,1,50,0.915487448,39.16666667,0.395000389
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.2,0.0005,64,60,1,100,0.881532958,37.5,0.501043874
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0001,16,60,1,50,0.414918164,19.16666667,0.53340384
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0005,32,60,1,50,0.775317961,28.27868852,0.539067791
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0001,16,60,1,150,0.936638047,48.75,0.604446069
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0005,16,60,1,100,0.96333867,66.80327869,0.483975494
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0001,32,60,1,50,0.673018066,28.33333333,0.501724689
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.001,32,60,1,150,0.964991215,67.08333333,0.522119484
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.001,64,60,1,150,0.950413513,53.68852459,0.497694999
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,32,60,1,150,0.93482307,44.58333333,0.446175714
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,16,60,1,100,0.964915285,65.83333333,0.483817007
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.001,16,60,1,100,0.962402342,67.91666667,0.562137352
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,32,60,1,100,0.956538124,59.58333333,0.447181059
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.001,64,60,1,150,0.895340992,25.83333333,0.443304257
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0005,16,60,1,100,0.962671542,65.83333333,0.50595272
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,32,60,1,150,0.95063594,52.91666667,0.439880342
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0005,16,60,1,100,0.965625532,70.90163934,0.643651158
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,32,60,1,100,0.904692718,31.25,0.488368198
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0005,64,60,1,150,0.889781128,45.90163934,0.667494943
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,16,60,1,150,0.962035463,67.91666667,0.77469082
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.6,0.0005,16,60,1,100,0.966001167,66.80327869,0.49545735
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.0005,16,60,1,100,0.957988602,61.25,0.758905452
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0005,16,60,1,100,0.965659691,65.83333333,0.533320963
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.0005,16,60,1,100,0.965710222,65.41666667,0.67168253
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.001,32,60,30,150,-1.323783067,8.016877637,0.677504219
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0001,32,60,30,150,-0.488009842,16.03375527,0.700224681
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.001,16,60,30,150,-1.522263639,7.594936709,0.368578428
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,32,60,30,100,-0.372237943,5.485232068,0.673378913
