Trial,Indicators,Window Size,Forecast Window,Model Type,Alpha,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.02239243017037445,0.022235095358785418,4.295604487931995,0.9651185467903795,67.5,0.641654293070923
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0744934493066755,0.02211089201413027,4.265846115331453,0.9655071480440446,66.66666666666666,0.6593481742676368
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,0.0002627170403317363,0.02316586185569037,4.56171623273579,0.9621371324976788,65.0,0.6065503253862972
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.09082478712378562,0.14012683089959427,33.24568964638587,-0.385348942617566,8.333333333333332,0.8204902619980307
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.001242352782572135,0.021160060682543103,4.167923576011794,0.9684099440611624,67.91666666666667,0.7244535755737072
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Ridge,4.607822222552689,0.027931873272862583,5.364132700051881,0.944955148650112,59.583333333333336,0.49523489391098585
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00010487095822581763,0.021138914983471584,4.036392961338916,0.9684730497446793,69.16666666666667,0.5212457038980831
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00011908597084500713,0.02112274074979738,4.03595040049437,0.9685212763617111,69.16666666666667,0.5711924627953296
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00011839307641405632,0.021124411168807988,4.036183401861318,0.9685162973925351,69.16666666666667,0.5711924627953296
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.002061920202606923,0.021552037227487136,4.3387898349721254,0.9672287328475557,65.83333333333333,0.6717137847122236
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0014692575076113486,0.021238347502246544,4.211062746631522,0.9681757613768774,66.66666666666666,0.6946732113572361
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.00010065096304869291,0.021136635483664738,4.034983808327775,0.9684798487504259,69.16666666666667,0.49441725037446477
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0064572888432384975,0.02819264350949647,6.1956465018362685,0.9439225603182793,48.333333333333336,0.7792002300898319
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.7188438544349062,0.14012683089959427,33.24568964638587,-0.385348942617566,8.333333333333332,0.8204902619980307
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0005234196002956653,0.021044030293460768,4.058909156531018,0.9687554399439902,71.25,0.7175222788090742
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.000586055541883067,0.021046243466045687,4.0657635688511125,0.9687488677010343,70.41666666666667,0.792828837189469
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.000741707847609193,0.021057893934417808,4.083970438718585,0.9687142590448244,70.0,0.7754072045158154
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0006298978736698285,0.021048469427397205,4.0706522228140045,0.9687422567833646,70.0,0.8061094009136146
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.005170553443514835,0.02564224373454429,5.526787989487344,0.9536095457466089,52.916666666666664,0.7835236403248113
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.0005281163642898934,0.02104436878675279,4.059481228208233,0.9687544347982171,70.83333333333334,0.792828837189469
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,Lasso,0.007535388579960429,0.03058117593466628,6.843530173285277,0.9340180813732101,44.583333333333336,0.8143914084267018
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.3907757682995855,0.14061052271279784,34.29635301697463,-0.6550369742812023,8.860759493670885,0.9603264663974013
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.0002205767427877609,0.11890508060595036,26.406862171381572,-0.18351257967645873,9.282700421940929,0.9907897523178133
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,0.0003290173613004728,0.12279737922294244,27.83447309589634,-0.2622641599505755,9.282700421940929,0.6290340617814568
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,5.432946827067991,0.14061052271279784,34.29635301697463,-0.6550369742812023,8.860759493670885,0.9603264663974013
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.014894437703632718,0.11972736888247511,26.61729983696104,-0.19993834647797626,9.70464135021097,0.9577905242901484
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.018276307741547062,0.11986532407810314,26.65392968527555,-0.20270518418334693,10.126582278481013,0.9577905242901484
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Lasso,7.548950829124123,0.14061052271279784,34.29635301697463,-0.6550369742812023,8.860759493670885,0.9603264663974013
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Ridge,0.0016293214721661026,0.11902519625538603,26.4317423377763,-0.18590491117725527,9.70464135021097,0.8963593976670783
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,Linear,,0.11844571937776716,26.0413054930969,-0.17438580998971664,8.016877637130802,1.1238116428704719
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Ridge,6.62226949587941,0.029234656730711923,5.610334754781652,0.9397006577509671,57.08333333333333,0.4660763326401464
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Lasso,0.010412066941078739,0.037718822827945205,8.684659317930125,0.8996233175018583,33.33333333333333,0.7964913170904977
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,Linear,,0.02374673975841711,4.673900704393915,0.9602145235855534,65.0,0.7446717131414142
