Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.8,0.0001,32,60,1,100,"(16, 1)",Sigmoid,0.05630324003991782,11.19112702892565,0.7763426175577068,26.25,0.5671791938333008
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.4,0.001,64,60,1,100,"(25, 1)",Sigmoid,0.0304173897725559,6.083868909416498,0.9347229757072484,47.5,0.42871895143842415
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.30000000000000004,0.001,64,60,1,50,"(16, 1)",Sigmoid,0.05142869116088367,10.48088944396242,0.813393225404831,31.666666666666664,0.627258050556735
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.2,0.0001,32,60,1,100,"(25, 1)",Sigmoid,0.06968198501133534,13.527353039296763,0.6574235612965875,27.083333333333332,0.5904051223036613
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.6000000000000001,0.0001,16,60,1,50,"(25, 1)",Tanh,0.05712609598610747,11.43646743498253,0.7697574676729777,29.583333333333332,0.6241191015828663
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.7,0.0001,64,60,1,150,"(16, 1)",ReLU,0.04668203279884236,9.066138190181027,0.8462496965781429,33.75,0.6815457873633766
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.8,0.0005,64,60,1,50,"(25, 1)",Sigmoid,0.05831904703756689,10.936394814782492,0.760040858087005,30.0,0.624130982269167
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.7,0.001,64,60,1,100,"(25, 1)",Sigmoid,0.03343697695255083,6.5308827922666275,0.9211193511425972,44.583333333333336,0.3154540520748761
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.30000000000000004,0.0005,16,60,1,150,"(16, 1)",Sigmoid,0.031240452837484455,6.065246531783277,0.9311425233386379,51.66666666666667,0.306690124666006
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.5,0.001,32,60,1,100,"(16, 1)",Tanh,0.03472713773749663,7.126427862782384,0.9149147181425961,42.083333333333336,0.7686133401877288
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.4,0.001,64,60,1,100,"(25, 1)",ReLU,0.03322881326965938,6.854110025750139,0.9220984452955541,41.25,0.5217810160370849
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.4,0.0005,16,60,1,150,"(16, 1)",Sigmoid,0.036072739677407165,7.54250180611243,0.9081932278926836,37.083333333333336,0.8825795735991045
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.2,0.0005,16,60,1,150,"(16, 1)",Sigmoid,0.03170355094560325,6.203087813525275,0.9290859517403102,47.083333333333336,1.0095955832840553
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.4,0.0005,16,60,1,150,"(25, 1)",Sigmoid,0.0285627782102651,5.532927114380979,0.9424404542528158,51.24999999999999,0.6250882690525422
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.5,0.001,16,60,1,150,"(25, 1)",Tanh,0.04410892666692106,9.83028180395078,0.862731956861871,22.5,1.0
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.4,0.0005,64,60,1,100,"(25, 1)",ReLU,0.05506209532621979,10.96304452705069,0.7860945102508606,30.833333333333336,0.6655208002907526
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0005,16,60,1,150,"(25, 1)",Sigmoid,0.03234316881700772,6.592995042443399,0.9261957114947907,45.83333333333333,0.818916831910377
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.30000000000000004,0.001,16,60,1,150,"(25, 1)",Sigmoid,0.022975656150473003,4.303202345922163,0.962756343818497,67.08333333333333,0.8083674022254465
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.30000000000000004,0.0005,16,60,1,150,"(25, 1)",Tanh,0.030223970235624686,5.898436522793658,0.9355505094945451,50.0,0.9273409944161807
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,1,150,"(25, 1)",ReLU,0.023858693795097127,4.468826432944322,0.959838512525661,65.83333333333333,0.9158382710706646
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,1,150,"(25, 1)",ReLU,0.032939964643191245,7.00604338096384,0.9234469109302371,37.083333333333336,0.3949767282292913
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.30000000000000004,0.001,16,60,1,150,"(25, 1)",ReLU,0.03187074235662486,6.254030445489334,0.9283360368674213,47.91666666666667,0.8946787516927321
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,1,150,"(25, 1)",ReLU,0.026585976041813876,5.2882170909134985,0.9501320310056676,55.00000000000001,0.9807761541755424
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,1,150,"(25, 1)",ReLU,0.043499906715806856,9.608789547872858,0.8664963578607681,22.916666666666664,1.0
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,60,1,150,"(25, 1)",ReLU,0.03188776243026662,6.301093430084586,0.9282594743823593,45.0,0.6543094803214197
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.8,0.001,64,60,30,100,"(16, 1)",Tanh,0.12780258494058347,28.87349690841318,-0.36726035650743194,9.70464135021097,0.7004164333693623
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.30000000000000004,0.0001,64,60,30,50,"(16, 1)",Sigmoid,0.14484621262707081,32.851378944284775,-0.7562495810584524,10.970464135021098,0.7577299518670103
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.0005,64,60,30,150,"(25, 1)",Tanh,0.1230237187368789,26.867401263436356,-0.2669213271612383,13.502109704641349,0.69771155579054
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.30000000000000004,0.0005,64,60,30,50,"(25, 1)",Sigmoid,0.13596385769611008,28.617215033346817,-0.5474581133366279,16.877637130801688,0.5973590034258754
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0001,32,60,30,50,"(16, 1)",ReLU,0.1396005451807151,31.119076845297823,-0.631346345607998,13.080168776371309,0.7249331633596983
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.30000000000000004,0.0001,16,60,30,150,"(16, 1)",Sigmoid,0.1491869825600097,33.372438450060145,-0.8630898757576799,13.080168776371309,0.4684057167969925
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,2,0.2,0.001,16,60,30,100,"(25, 1)",Tanh,0.1883791452828124,42.888480408524536,-1.9705549461261822,13.924050632911392,0.6789881677661928
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.4,0.0001,32,60,30,50,"(16, 1)",ReLU,0.12461504410222735,28.565289908597478,-0.299908838827073,10.126582278481013,0.8487686381047604
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.5,0.0005,64,60,30,150,"(16, 1)",Sigmoid,0.1313236899641047,30.23213571442009,-0.443637317940889,6.751054852320674,0.6576588419911336
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.7,0.0001,64,60,30,100,"(16, 1)",Tanh,0.14200372280384813,35.88895859725142,-0.6879959719838029,3.79746835443038,0.8018974252472998
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.7,0.0005,32,60,30,150,"(25, 1)",Tanh,0.14625438034025467,32.49385413558082,-0.790563428677572,10.548523206751055,0.7206936185556663
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.0005,32,60,30,50,"(25, 1)",ReLU,0.1683786386007176,38.761438764486634,-1.3732633541943287,11.39240506329114,0.7558845965104461
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.4,0.0001,32,60,30,150,"(25, 1)",ReLU,0.14425253795455506,32.07677904643806,-0.7418825615376423,10.970464135021098,0.692113758321832
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.5,0.0005,32,60,30,150,"(25, 1)",ReLU,0.1626411922678168,36.752534862220784,-1.2142825848020111,9.282700421940929,0.6342759805973386
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.6000000000000001,0.001,16,60,30,50,"(16, 1)",Tanh,0.20173211880464298,46.8495781318412,-2.406607087822308,9.282700421940929,0.7015508820409394
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,0.4,0.0001,64,60,30,150,"(25, 1)",ReLU,0.1453099114193952,32.22321911655327,-0.7675122067763376,13.502109704641349,0.6387677982524406
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.0005,32,60,30,50,"(16, 1)",ReLU,0.17088721766546702,39.10231122685849,-1.444505976022485,12.236286919831224,0.6918668104497359
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.4,0.0005,32,60,30,150,"(25, 1)",Tanh,0.1438265333299299,33.55908447185904,-0.7316095454607814,8.438818565400844,0.6085683045108287
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.8,0.0001,64,60,30,50,"(16, 1)",ReLU,0.138957559617647,30.443545325353355,-0.6163533309152183,15.611814345991561,0.7238642453135262
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.2,0.001,16,60,30,100,"(25, 1)",Tanh,0.18304565363534966,41.974014318407555,-1.8047282447068618,11.814345991561181,0.7370749079571804
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.7,0.0001,64,60,30,150,"(16, 1)",ReLU,0.14224268022245456,31.09953187815755,-0.6936817178129204,16.033755274261605,0.5813498089418394
