Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.5,0.0005,32,60,1,100,leaky_relu,0.649819331,41.66666667,1.642536452
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.0001,32,60,1,100,leaky_relu,0.863434699,57.08333333,1.210838367
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,2,0.3,0.001,32,60,1,100,relu,0.304766854,14.58333333,0.56724354
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.4,0.001,32,60,1,100,relu,0.660576873,30.41666667,0.670444572
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.2,0.0005,32,60,1,50,leaky_relu,0.670222603,42.08333333,1.543521799
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,3,0.4,0.0005,64,60,1,50,leaky_relu,0.416193755,22.08333333,0.694403399
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,3,2,0.4,0.0005,32,60,1,150,leaky_relu,0.79616409,54.16666667,1.286192171
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,2,0.2,0.0001,64,60,1,150,relu,0.49291922,26.25,0.734857156
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,2,0.2,0.0001,64,60,1,50,relu,0.005196821,16.66666667,0.672511691
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.5,0.001,64,60,1,50,leaky_relu,0.704859841,33.75,0.729766931
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,3,0.5,0.0001,32,60,1,100,leaky_relu,0.749889871,35,0.973218598
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0001,32,60,1,150,leaky_relu,0.853112707,60,1.301606981
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.851483321,46.25,0.655332922
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.5,0.0001,32,60,1,150,leaky_relu,0.808842611,40,0.795620022
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0001,32,60,1,150,leaky_relu,0.663615379,28.33333333,0.712093052
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,32,60,1,100,leaky_relu,0.871432098,55,0.940661473
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,32,60,1,100,leaky_relu,0.836060378,50.41666667,0.913876322
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.3,0.0001,32,60,1,100,leaky_relu,0.735507742,37.91666667,0.959296582
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.3,0.0001,64,60,1,100,relu,0.809061173,43.75,0.83544253
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.2,0.001,32,60,1,100,leaky_relu,0.300530668,18.33333333,1.086393323
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,3,0.5,0.0001,32,60,1,100,leaky_relu,0.726634932,36.25,0.893393377
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0001,32,60,1,150,leaky_relu,0.783870116,42.08333333,0.783552732
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,3,0.4,0.0001,32,60,1,100,leaky_relu,0.870504884,56.25,1.120987063
