Indicators,Window Size,Forecast Window,R2,Accuracy,Profit Index
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,1,0.9293484244451865,85.0,0.9279573621987276
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",60,30,-1.4014206032017316,18.143459915611814,0.796562360369389
"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",5,1,0.9550646806490137,90.2439024390244,0.8606527101218063
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,1,0.9231689311390949,85.41666666666666,0.9341593569227779
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",60,30,-1.4160800690311417,19.831223628691983,0.7277087767703463
"20MA, 50MA, RSI, MACD, Upper_BB, CCI",5,1,0.9548366321508543,91.05691056910568,0.8000626565453279
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,1,0.9256452884164418,83.75,0.9323556413740837
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",60,30,-2.0913911466826196,19.831223628691983,0.6526913469251944
"20MA, 50MA, RSI, MACD, Upper_BB, ATR",5,1,0.9548249879407246,90.2439024390244,0.7944246708131131
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,1,0.9297089222102769,85.83333333333333,1.021645012186406
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",60,30,-1.1802490261217176,20.675105485232066,0.6666560465830974
"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",5,1,0.9550295630324005,90.2439024390244,0.7437858109176703
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,1,0.925166817754008,84.16666666666667,1.1870665357162566
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",60,30,-1.0126051755629364,20.675105485232066,0.8020507061346064
"20MA, 50MA, RSI, MACD, Upper_BB, OBV",5,1,0.9547260458244913,90.2439024390244,0.9105870080178805
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,1,0.9231689311409628,85.41666666666666,0.9341593569227779
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",60,30,-1.4160800690450022,19.831223628691983,0.7277087767703463
"20MA, 50MA, RSI, MACD, Lower_BB, CCI",5,1,0.9548366321508543,91.05691056910568,0.8000626565453279
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,1,0.9256452884173753,83.75,0.9323556413740837
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",60,30,-2.0913911462298236,19.831223628691983,0.6526913469251944
"20MA, 50MA, RSI, MACD, Lower_BB, ATR",5,1,0.9548249879407253,90.2439024390244,0.7944246708131131
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,1,0.929708922210509,85.83333333333333,1.021645012186406
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",60,30,-1.180249026215162,20.675105485232066,0.6666560465830974
"20MA, 50MA, RSI, MACD, Lower_BB, Williams_%R",5,1,0.9550295630324007,90.2439024390244,0.7437858109176703
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,1,0.9251668177536146,84.16666666666667,1.1870665357162566
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",60,30,-1.012605175702797,20.675105485232066,0.8020507061346064
"20MA, 50MA, RSI, MACD, Lower_BB, OBV",5,1,0.9547260458244912,90.2439024390244,0.9105870080178805
"20MA, 50MA, RSI, MACD, CCI, ATR",60,1,0.9241594383722991,83.75,0.7172923196036073
