Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.0001,32,60,1,50,0.735370732,35.41666667,0.827494537
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,16,60,1,150,0.938433772,76.66666667,1.395278041
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0005,16,60,1,50,0.892907254,57.91666667,0.804419636
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.001,64,60,1,150,0.788998548,37.08333333,0.611176903
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.001,16,60,1,50,-0.266382043,6.666666667,0.623590916
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0005,64,60,1,50,0.128396264,20,1.109852465
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.8,0.001,16,60,1,100,-0.171168126,7.5,0.509657379
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0005,16,60,1,50,0.760434138,44.16666667,2.007192126
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0005,16,60,1,150,0.469343209,13.75,0.589040586
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0005,16,60,1,50,0.715702805,35.83333333,0.693226067
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.2,0.0001,32,60,1,150,0.889800813,55.83333333,0.856220078
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0005,16,60,1,100,0.92378766,69.16666667,0.77361688
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.6,0.0005,16,60,1,100,0.559122563,16.66666667,0.546681381
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0005,32,60,1,100,0.895670674,61.25,0.932352837
14,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.3,0.0005,64,60,1,150,0.907020513,64.58333333,0.621964036
15,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0001,16,60,1,100,0.899595527,63.33333333,0.835170094
16,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.7,0.0005,16,60,1,150,0.802183336,37.08333333,0.609052295
17,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.0005,16,60,1,100,0.680979088,25,0.588985265
18,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.6,0.0001,32,60,1,150,0.878449531,53.75,1.475664064
19,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,64,60,1,100,0.912437488,65,0.683135763
20,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.0005,16,60,1,150,0.859380279,58.75,0.957456473
21,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.7,0.001,64,60,1,100,0.90294336,61.66666667,0.866475933
22,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.001,64,60,1,100,0.919454607,64.16666667,0.920704568
23,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.001,64,60,1,100,0.913635174,66.25,1.001115744
24,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.5,0.001,64,60,1,100,0.910017721,64.58333333,0.782697888
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.3,0.001,64,60,30,50,0.060896161,20.25316456,1.116732363
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.8,0.0001,16,60,30,150,-0.114706414,17.29957806,1.298292028
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.4,0.001,16,60,30,150,0.140623817,17.29957806,1.195276957
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.001,32,60,30,100,-0.126237568,16.4556962,1.346430331
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.5,0.0001,16,60,30,50,-0.136684851,16.87763713,0.958961481
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.5,0.0005,16,60,30,50,0.282788916,23.62869198,1.330458187
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.4,0.001,32,60,30,50,-0.126750523,16.4556962,0.892979553
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,0.7,0.0005,32,60,30,150,0.051127309,16.4556962,1.176505162
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,0.4,0.0005,16,60,30,100,0.19404842,17.72151899,1.244510318
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,0.8,0.001,64,60,30,50,-0.331407755,15.18987342,0.857003777
