Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.4,0.0005,32,60,1,50,"(16, 1)",Sigmoid,0.3156666886222419,58.74065325664494,-11.080386219219145,0.0,1.0
1,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.2,0.0001,64,60,1,150,"(16, 1)",Sigmoid,0.04478352908594026,6.82724987026648,0.7568580255800859,45.0,1.3174433072930973
2,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,3,0.4,0.0005,32,60,1,150,"(16, 1)",ReLU,0.029769095788651147,4.5627430145060925,0.8925628207933354,61.25000000000001,1.3804263152023986
3,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.8,0.0001,16,60,1,100,"(16, 1)",Tanh,0.02949169651697701,4.622629243586609,0.8945557693124035,59.583333333333336,1.2658748053111526
4,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.2,0.0005,16,60,1,150,"(25, 1)",Tanh,0.059863522804301864,11.07049536605528,0.5655419477540202,22.5,0.6451777828266336
5,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,3,0.6000000000000001,0.001,32,60,1,150,"(16, 1)",Sigmoid,0.29982919438514805,55.34256042965544,-9.898610854496855,0.0,1.0
6,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.6000000000000001,0.001,64,60,1,150,"(16, 1)",Sigmoid,0.036797867865193394,5.796082199087819,0.8358395169184198,52.5,1.0802368581090442
7,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",128,2,0.4,0.0005,32,60,1,150,"(16, 1)",Sigmoid,0.047880667148199836,8.217550270100448,0.7220647081906866,26.666666666666668,1.066711397858506
8,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.5,0.001,32,60,1,100,"(25, 1)",ReLU,0.03472299302829816,5.683100033861761,0.8538302121887212,51.24999999999999,0.7720955692402601
9,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",16,3,0.4,0.001,16,60,1,100,"(16, 1)",Sigmoid,0.05414943875092875,9.653880894184603,0.6445232266343881,28.333333333333332,0.7672821758681458
10,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.8,0.0001,16,60,1,100,"(25, 1)",Tanh,0.03392630086279629,5.457549344321935,0.8604607679427365,54.166666666666664,0.9976760311970413
11,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.8,0.0001,16,60,1,50,"(16, 1)",ReLU,0.03789654852079512,6.288386283089683,0.8258904368372739,45.416666666666664,1.2245446456657425
12,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",64,2,0.7,0.0001,32,60,1,100,"(16, 1)",ReLU,0.03537747497175197,5.568424542687382,0.848268072432311,50.0,1.667495464872558
13,"20MA, 50MA, RSI, MACD, Upper_BB, Lower_BB",32,2,0.30000000000000004,0.0005,16,60,1,100,"(16, 1)",Tanh,0.030025131089575014,4.393598815161386,0.8907068018132543,65.0,0.9527174307988054
